PotentialCustomerID,sale,sale_amount,region,age,marketing_exposure,activity,income,num_accounts,UrbanRural,current_customer
1085553,Yes,531.34,9,64,3,High,66715,2,Urban,Yes
1031405,Yes,519.03,29,24,2,Low,8809,0,Urban,No
1032041,Yes,468.06,23,63,3,Low,39304,1,Urban,Yes
1007498,No,0.0,27,68,4,Low,43360,1,Urban,Yes
1084259,No,0.0,28,37,8,Med,49569,1,Rural,Yes
1079245,No,0.0,19,37,4,Low,94604,0,Rural,No
1076773,Yes,402.28,21,74,0,Med,2537,1,Urban,Yes
1040378,Yes,518.5,4,86,0,High,27629,1,Urban,Yes
1093792,Yes,897.0,7,66,5,Med,126001,0,Urban,No
1007086,No,0.0,19,37,5,Med,81967,0,Urban,No
1003080,Yes,1012.46,1,84,3,Low,19122,3,Urban,Yes
1062801,Yes,98.71,12,35,10,Med,27167,0,Rural,No
1009134,Yes,824.53,28,52,3,Med,30898,0,Urban,No
1087583,Yes,411.07,28,45,2,Low,66815,0,Urban,No
1082744,Yes,792.56,8,80,5,Med,49919,1,Rural,Yes
1072230,No,0.0,21,34,5,Low,39446,1,Urban,Yes
1025722,No,0.0,18,43,7,Low,14352,0,Urban,No
1076603,Yes,531.38,18,60,7,Med,68446,1,Rural,Yes
1064099,Yes,757.41,16,85,5,Med,130069,2,Urban,Yes
1094011,No,0.0,19,34,2,Low,14292,0,Urban,No
1092513,No,0.0,19,67,3,Med,50691,1,Urban,Yes
1076907,Yes,517.55,21,57,2,Low,86998,1,Urban,Yes
1090665,Yes,1016.1,27,58,5,Med,36527,0,Urban,No
1003429,Yes,176.0,9,55,0,High,94713,2,Urban,Yes
1092116,No,0.0,2,76,3,High,78015,2,Urban,Yes
1044546,No,0.0,21,78,4,High,92651,1,Urban,Yes
1077201,Yes,582.93,19,45,7,Med,130551,1,Urban,Yes
1026249,Yes,625.46,12,74,3,Med,20523,2,Urban,Yes
1048747,No,0.0,6,72,6,Low,15920,1,Urban,Yes
1023705,Yes,434.03,7,42,3,High,55832,1,Rural,Yes
1034453,Yes,256.44,5,47,1,Low,51687,1,Urban,Yes
1005768,Yes,397.34,4,77,1,Med,30508,0,Urban,No
1061277,No,0.0,30,80,5,Low,18587,3,Urban,Yes
1077856,No,0.0,22,29,3,High,66500,0,Urban,No
1084783,Yes,864.13,3,64,2,Med,111048,0,Urban,No
1046145,No,0.0,1,81,6,Low,14268,0,Urban,No
1046867,Yes,831.86,25,24,5,Low,87132,0,Urban,No
1086598,No,0.0,25,35,5,Low,59038,1,Urban,Yes
1092369,Yes,243.11,29,75,2,Low,85338,2,Urban,Yes
1065295,No,0.0,24,86,10,Med,65999,0,Rural,No
1050779,Yes,40.14,24,43,13,Low,83112,2,Rural,Yes
1040795,Yes,352.44,1,64,1,Low,104221,1,Urban,Yes
1070928,Yes,260.62,10,67,2,Med,85537,2,Urban,Yes
1064034,Yes,483.05,11,84,3,Low,84123,1,Urban,Yes
1015348,Yes,782.22,4,73,5,Low,112766,0,Urban,No
1066464,No,0.0,2,42,3,Med,94816,0,Urban,No
1056155,Yes,512.71,8,35,4,Low,11541,1,Urban,Yes
1086055,Yes,1063.38,23,31,3,High,23246,1,Urban,Yes
1003293,No,0.0,30,36,3,Low,22018,0,Urban,No
1015809,No,0.0,21,40,5,Low,63409,0,Rural,No
1015223,Yes,305.7,29,79,3,High,54683,0,Urban,No
1084538,Yes,627.8,15,35,6,Low,20258,1,Urban,Yes
1046798,No,0.0,14,54,5,Low,51392,1,Urban,Yes
1048370,Yes,590.62,28,48,6,Med,64823,1,Urban,Yes
1066173,No,0.0,25,82,0,Med,89445,1,Urban,Yes
1017633,No,0.0,29,33,1,Low,69165,1,Urban,Yes
1058608,No,0.0,22,54,8,Low,45561,0,Rural,No
1086108,Yes,263.62,4,36,3,Low,24884,0,Urban,No
1066080,No,0.0,3,74,2,Low,102975,0,Rural,No
1086952,Yes,1114.62,5,25,2,Low,37001,0,Urban,No
1044497,No,0.0,17,51,4,Med,46074,1,Urban,Yes
1000687,Yes,769.15,19,80,4,Low,10326,0,Urban,No
1048976,No,0.0,24,32,1,Low,8933,1,Urban,Yes
1066558,Yes,806.0,21,23,4,Low,41358,0,Urban,No
1066404,No,0.0,11,24,8,Med,166994,0,Rural,No
1030217,No,0.0,30,38,3,High,118012,1,Urban,Yes
1079862,No,0.0,27,80,3,Low,96487,0,Urban,No
1079830,No,0.0,20,27,3,High,73099,0,Urban,No
1012650,Yes,85.08,26,43,0,Med,54050,1,Urban,Yes
1058047,No,0.0,23,85,5,Low,42049,0,Rural,No
1099943,No,0.0,26,42,5,Low,87391,1,Rural,Yes
1009567,No,0.0,24,23,4,Low,40867,0,Urban,No
1094357,No,0.0,30,45,3,Med,17655,1,Urban,Yes
1001133,Yes,580.27,26,37,6,Med,80770,1,Urban,Yes
1075141,Yes,555.62,4,66,4,Med,130957,1,Urban,Yes
1073039,No,0.0,19,72,1,Low,134592,3,Urban,Yes
1012586,No,0.0,15,35,3,Low,15383,1,Urban,Yes
1082803,No,0.0,9,37,4,Med,102045,2,Urban,Yes
1078233,No,0.0,5,32,3,Med,108256,0,Urban,No
1010951,Yes,506.26,28,59,4,Low,39200,1,Urban,Yes
1067231,No,0.0,7,54,2,High,64671,2,Urban,Yes
1076208,No,0.0,2,84,3,Low,11785,0,Urban,No
1087233,Yes,19.07,14,56,0,Med,69818,0,Urban,No
1066121,No,0.0,19,26,0,Med,52015,0,Urban,No
1084963,No,0.0,28,81,4,Low,124367,0,Urban,No
1043836,Yes,229.06,2,45,10,Med,18863,0,Rural,No
1075965,No,0.0,12,73,1,Low,53158,0,Urban,No
1035423,No,0.0,4,26,1,Med,78229,1,Urban,Yes
1083189,Yes,1015.69,28,28,4,Low,91216,0,Urban,No
1098128,No,0.0,20,69,4,Med,123314,0,Urban,No
1071884,Yes,75.04,25,40,2,Low,20754,0,Rural,No
1037740,No,0.0,19,32,1,Med,18475,2,Urban,Yes
1069667,Yes,581.64,4,76,3,Low,106864,0,Urban,No
1031207,No,0.0,16,62,2,Low,77162,0,Urban,No
1059451,Yes,791.9,25,61,7,Low,55469,1,Urban,Yes
1042788,Yes,481.92,3,64,3,High,609,0,Urban,No
1004566,Yes,249.92,29,76,7,Low,15961,0,Rural,No
1052091,Yes,203.4,10,77,3,Med,12321,0,Rural,No
1073485,No,0.0,20,81,3,Low,43174,0,Urban,No
1062607,Yes,739.39,28,53,1,High,18903,1,Urban,Yes
1033513,Yes,800.29,28,75,3,High,26188,1,Urban,Yes
1018095,No,0.0,17,55,2,Med,97557,1,Urban,Yes
1061528,No,0.0,7,32,2,Low,23852,0,Urban,No
1063950,No,0.0,24,44,3,Med,13782,0,Urban,No
1020481,Yes,502.23,7,40,1,Med,23747,1,Urban,Yes
1042667,Yes,86.18,4,82,2,Low,107368,0,Rural,No
1004157,Yes,388.15,3,38,3,High,60422,1,Rural,Yes
1041293,Yes,286.06,26,65,1,Low,22741,0,Urban,No
1064614,No,0.0,30,56,2,High,39923,1,Urban,Yes
1002231,Yes,367.71,29,59,4,Med,23654,1,Urban,Yes
1079760,No,0.0,25,62,3,Low,8871,1,Urban,Yes
1021959,Yes,1389.82,25,78,7,Med,23590,0,Urban,No
1097468,No,0.0,30,64,10,Low,82229,1,Rural,Yes
1011308,Yes,539.39,6,31,4,High,77635,2,Urban,Yes
1017643,Yes,566.48,2,69,1,High,62063,1,Urban,Yes
1023963,Yes,253.45,30,78,1,Med,101982,1,Urban,Yes
1010157,Yes,341.91,3,42,3,High,57316,0,Urban,No
1019588,Yes,635.43,11,85,4,Med,54927,0,Urban,No
1095028,No,0.0,19,59,1,Med,25281,0,Urban,No
1046909,No,0.0,23,40,3,Med,39333,2,Urban,Yes
1047648,Yes,711.55,28,29,2,Med,30564,1,Urban,Yes
1077827,No,0.0,3,40,2,Low,42151,0,Urban,No
1024835,Yes,738.31,10,42,4,Med,14771,0,Urban,No
1003665,Yes,371.39,15,74,10,Med,137273,1,Rural,Yes
1075964,Yes,813.52,21,72,4,Med,39047,0,Urban,No
1071456,Yes,200.93,18,60,11,Low,81450,1,Rural,Yes
1004460,No,0.0,30,41,2,Med,44814,0,Urban,No
1057295,Yes,853.47,27,26,3,Low,8430,0,Urban,No
1035212,Yes,675.64,3,40,2,Med,81681,1,Urban,Yes
1086328,Yes,416.6,1,76,4,Med,61558,4,Urban,Yes
1007924,No,0.0,6,30,1,Low,30527,1,Urban,Yes
1053091,No,0.0,29,58,5,Med,61701,1,Urban,Yes
1050796,No,0.0,13,48,1,Med,11752,2,Urban,Yes
1077661,Yes,256.32,17,37,3,High,96057,1,Urban,Yes
1011325,No,0.0,19,48,3,Med,95414,0,Urban,No
1025697,Yes,1106.59,2,67,6,Low,90884,0,Urban,No
1063839,Yes,443.25,16,43,3,Low,72455,0,Urban,No
1076127,Yes,432.64,20,29,2,Med,79469,0,Urban,No
1046774,No,0.0,30,84,4,Low,99188,2,Urban,Yes
1083889,Yes,648.22,17,78,4,High,19433,1,Rural,Yes
1025256,No,0.0,12,70,2,Low,53333,1,Urban,Yes
1038284,Yes,550.72,3,48,1,Low,49917,0,Urban,No
1082012,Yes,1019.81,17,33,2,Med,98239,0,Urban,No
1095262,No,0.0,10,30,3,Med,12402,2,Urban,Yes
1072059,No,0.0,14,50,2,Low,78379,2,Urban,Yes
1099243,Yes,584.56,26,77,4,Low,57580,1,Urban,Yes
1004348,Yes,828.09,18,75,2,Med,113114,1,Urban,Yes
1078961,No,0.0,27,46,0,Low,78926,1,Urban,Yes
1050720,Yes,530.11,2,49,5,Low,95813,1,Urban,Yes
1065040,No,0.0,30,64,2,Low,49287,0,Urban,No
1061918,Yes,688.21,2,23,4,Low,39291,2,Urban,Yes
1042771,Yes,736.72,11,77,6,Med,42930,0,Urban,No
1081694,No,0.0,19,67,2,Med,80712,1,Urban,Yes
1041073,Yes,254.21,7,45,3,Med,66339,1,Rural,Yes
1009078,Yes,436.43,27,67,4,Low,5219,2,Urban,Yes
1069441,Yes,369.21,3,74,6,Med,75957,1,Urban,Yes
1077187,Yes,845.35,9,83,3,High,159457,1,Urban,Yes
1059681,Yes,681.17,11,66,6,High,49350,2,Urban,Yes
1053463,Yes,469.53,28,35,12,Med,62675,1,Rural,Yes
1093461,Yes,724.12,20,79,4,Low,106747,0,Urban,No
1067385,No,0.0,22,66,4,Med,31878,1,Urban,Yes
1062648,Yes,371.55,12,50,7,Med,22316,1,Urban,Yes
1045811,Yes,438.0,19,41,3,High,4485,0,Urban,No
1056497,Yes,550.93,21,60,4,Low,69913,1,Urban,Yes
1043254,Yes,470.7,9,45,4,Med,17754,0,Urban,No
1009729,Yes,838.16,15,82,3,Med,32917,0,Urban,No
1045328,No,0.0,27,46,8,High,6378,0,Rural,No
1080138,No,0.0,12,62,2,Low,155376,1,Urban,Yes
1041866,No,0.0,8,79,5,Low,52602,0,Urban,No
1040244,Yes,832.02,30,24,6,Low,53023,0,Urban,No
1041846,Yes,533.73,7,77,2,Low,46557,1,Urban,Yes
1069738,Yes,291.6,1,72,3,High,54474,0,Rural,No
1049900,No,0.0,26,84,3,Med,114296,1,Urban,Yes
1095785,Yes,518.04,8,36,1,Low,48530,1,Urban,Yes
1005752,No,0.0,24,27,1,Low,28625,0,Urban,No
1090677,Yes,571.77,29,27,5,Low,23692,0,Urban,No
1011135,No,0.0,14,45,3,Med,52386,3,Urban,Yes
1016648,Yes,405.65,21,71,4,High,35597,2,Urban,Yes
1015616,Yes,798.31,7,27,7,Low,57977,0,Rural,No
1063529,No,0.0,8,46,10,Low,22557,1,Urban,Yes
1030796,No,0.0,30,50,3,Low,108865,0,Urban,No
1012878,No,0.0,5,38,4,Low,115105,0,Urban,No
1039465,No,0.0,22,51,7,Med,109005,2,Urban,Yes
1007068,No,0.0,13,42,5,High,25436,0,Urban,No
1072708,No,0.0,1,59,2,Low,6060,2,Urban,Yes
1064990,No,0.0,30,74,2,Med,82785,0,Urban,No
1083013,Yes,413.78,8,80,1,Med,89813,0,Urban,No
1094995,Yes,581.76,15,42,6,Med,101869,1,Urban,Yes
1083388,No,0.0,3,78,5,Low,126573,0,Urban,No
1008329,Yes,490.56,8,48,1,Low,26023,1,Urban,Yes
1005841,No,0.0,5,52,1,Med,24366,1,Urban,Yes
1006890,No,0.0,3,79,3,Med,71674,1,Urban,Yes
1006894,Yes,890.19,26,51,3,Med,64632,0,Urban,No
1055066,No,0.0,22,80,2,Low,44247,0,Urban,No
1085829,Yes,530.74,28,29,5,Med,55873,0,Urban,No
1081158,Yes,240.9,19,49,3,Low,32173,3,Rural,Yes
1078689,Yes,152.06,17,53,0,High,85381,0,Urban,No
1071591,No,0.0,8,81,3,High,73225,1,Urban,Yes
1005157,No,0.0,14,62,4,Low,26490,0,Urban,No
1043688,Yes,354.48,13,63,1,Low,52168,1,Urban,Yes
1004063,Yes,667.27,25,24,6,Med,44682,0,Rural,No
1071239,Yes,727.88,8,53,3,High,10342,2,Urban,Yes
1047457,Yes,287.79,12,69,3,Med,74487,2,Urban,Yes
1020726,No,0.0,10,29,3,Low,15844,0,Urban,No
1014989,Yes,558.74,16,75,3,Med,31218,0,Urban,No
1083255,Yes,789.09,13,45,1,Low,10967,1,Urban,Yes
1005453,Yes,457.19,28,76,3,High,40621,0,Urban,No
1014007,Yes,831.8,6,77,5,Med,53911,0,Urban,No
1013439,Yes,349.81,18,55,1,Med,1903,0,Urban,No
1036016,No,0.0,10,80,3,High,38277,1,Urban,Yes
1097580,No,0.0,18,59,5,Low,96839,1,Rural,Yes
1067196,Yes,450.62,2,53,9,Low,41683,0,Rural,No
1059179,No,0.0,28,78,3,Low,80799,0,Urban,No
1084637,Yes,237.97,28,73,2,High,36998,1,Urban,Yes
1021950,Yes,588.3,7,69,5,High,11276,2,Urban,Yes
1082914,Yes,776.55,9,31,2,High,15157,0,Urban,No
1016604,Yes,214.43,8,38,0,High,69904,0,Urban,No
1013289,No,0.0,16,26,0,Low,23824,0,Urban,No
1055581,Yes,830.75,12,27,4,High,107906,2,Urban,Yes
1030124,Yes,973.95,18,82,2,Med,94741,0,Urban,No
1097245,Yes,857.48,2,68,3,Med,48361,0,Urban,No
1067744,Yes,262.3,20,43,2,Low,59699,1,Urban,Yes
1068944,No,0.0,19,55,5,High,33726,0,Rural,No
1072152,Yes,464.1,26,44,5,Med,76379,0,Urban,No
1098450,Yes,347.99,9,65,2,Med,166153,1,Urban,Yes
1089766,No,0.0,21,78,2,Low,100506,0,Urban,No
1083766,Yes,538.65,16,41,3,Med,61970,1,Urban,Yes
1063100,Yes,195.3,11,72,1,High,52682,0,Urban,No
1017771,Yes,504.44,3,52,1,Low,36696,1,Urban,Yes
1026414,No,0.0,9,59,4,Low,21578,1,Urban,Yes
1039061,Yes,407.22,16,63,3,Med,104478,0,Urban,No
1033231,Yes,548.23,2,59,1,Med,77810,1,Urban,Yes
1018490,Yes,336.27,12,78,0,High,52937,0,Urban,No
1011448,Yes,642.42,14,73,4,Low,133997,2,Urban,Yes
1060535,Yes,491.43,29,68,4,Med,115707,2,Urban,Yes
1073789,No,0.0,25,26,4,Med,68809,0,Urban,No
1079345,Yes,377.61,3,31,3,High,74924,3,Urban,Yes
1056822,Yes,637.73,26,67,4,High,29744,0,Urban,No
1009817,Yes,450.27,14,63,3,Low,79335,1,Urban,Yes
1033857,Yes,850.98,23,44,1,High,33130,0,Urban,No
1018036,No,0.0,18,28,1,Med,20144,0,Urban,No
1043684,No,0.0,30,65,1,Med,20879,0,Urban,No
1027075,No,0.0,26,23,2,High,17759,0,Urban,No
1098742,Yes,500.18,15,43,4,Low,49833,0,Urban,No
1019877,No,0.0,14,43,3,Med,11838,1,Urban,Yes
1075053,Yes,359.7,21,60,5,Med,16294,0,Rural,No
1088761,Yes,650.72,27,41,2,Med,19790,2,Urban,Yes
1090026,Yes,346.83,14,81,1,High,16189,2,Urban,Yes
1024777,Yes,737.0,14,66,6,High,68125,1,Urban,Yes
1072821,No,0.0,10,27,3,High,28840,1,Urban,Yes
1045634,Yes,1107.63,12,66,6,Low,78212,2,Urban,Yes
1047915,No,0.0,24,72,3,Med,143237,1,Rural,Yes
1094919,No,0.0,24,36,4,Med,49732,0,Urban,No
1069380,No,0.0,19,43,5,Med,32903,1,Urban,Yes
1004401,Yes,483.73,4,82,3,High,111512,1,Urban,Yes
1093862,No,0.0,21,46,3,Low,46748,2,Urban,Yes
1007715,Yes,326.76,6,70,3,High,110982,2,Urban,Yes
1061397,No,0.0,15,37,5,High,67031,1,Urban,Yes
1017792,Yes,438.63,10,27,3,Low,7538,1,Urban,Yes
1086335,Yes,581.54,15,57,2,Med,33462,2,Urban,Yes
1027787,No,0.0,4,44,6,Low,32943,1,Rural,Yes
1018923,Yes,909.49,1,46,4,Med,55219,0,Urban,No
1075748,Yes,110.03,22,41,5,Med,17343,0,Urban,No
1005864,Yes,788.19,12,80,4,Low,20904,1,Urban,Yes
1020403,Yes,271.8,29,53,2,Med,57215,1,Urban,Yes
1032348,Yes,249.91,26,64,6,Med,53605,1,Rural,Yes
1003950,Yes,610.1,2,73,4,High,28973,1,Urban,Yes
1076322,Yes,507.87,1,38,3,Low,3002,1,Urban,Yes
1060298,No,0.0,21,71,0,High,18441,1,Urban,Yes
1099062,No,0.0,9,44,8,Med,29479,1,Rural,Yes
1093020,No,0.0,6,82,2,Med,90438,0,Urban,No
1071241,Yes,416.75,6,45,5,High,50828,1,Urban,Yes
1078319,No,0.0,10,62,9,Med,88929,0,Rural,No
1032514,Yes,457.37,9,38,3,Low,42464,1,Urban,Yes
1093076,Yes,974.79,7,69,7,Med,58794,0,Urban,No
1093337,No,0.0,2,32,3,High,20305,1,Urban,Yes
1027331,Yes,187.46,12,74,2,Low,81064,0,Urban,No
1031070,Yes,676.8,25,59,1,High,90615,0,Urban,No
1009673,No,0.0,9,28,2,Low,19623,1,Urban,Yes
1076146,No,0.0,2,84,2,Med,4325,2,Urban,Yes
1073791,No,0.0,11,59,5,Low,69840,0,Urban,No
1060379,Yes,506.01,12,26,5,Med,69261,0,Urban,No
1051285,Yes,86.04,23,58,9,Med,26702,0,Rural,No
1061276,No,0.0,23,27,4,Med,104543,0,Urban,No
1007064,Yes,921.17,9,30,4,High,38630,1,Urban,Yes
1057294,No,0.0,27,31,3,Low,41779,0,Rural,No
1080755,No,0.0,9,68,6,Low,89660,0,Urban,No
1008817,No,0.0,26,67,3,Med,11413,0,Urban,No
1017634,Yes,578.25,16,60,3,High,37025,0,Urban,No
1023602,Yes,28.39,17,44,5,Med,39453,2,Rural,Yes
1047112,Yes,513.43,5,74,5,High,79439,1,Urban,Yes
1017503,No,0.0,27,61,5,Low,130164,1,Urban,Yes
1061340,No,0.0,11,45,0,Low,138678,1,Urban,Yes
1026578,No,0.0,7,37,1,Low,34025,2,Urban,Yes
1046315,Yes,753.29,25,70,5,Med,33159,1,Urban,Yes
1068510,Yes,590.31,22,45,2,Low,46783,0,Urban,No
1093044,No,0.0,1,77,2,Med,191312,2,Urban,Yes
1027315,Yes,809.21,2,72,1,Low,30013,1,Urban,Yes
1030158,Yes,347.81,29,70,5,Med,87494,1,Rural,Yes
1046671,Yes,465.51,12,51,2,Med,126509,1,Urban,Yes
1084595,Yes,332.59,25,52,7,High,8050,1,Rural,Yes
1077627,No,0.0,29,47,3,Low,92539,1,Urban,Yes
1039541,No,0.0,30,28,4,High,45356,2,Urban,Yes
1010458,Yes,687.48,21,27,2,Med,129134,0,Urban,No
1077748,No,0.0,19,31,4,Med,11196,0,Urban,No
1023874,No,0.0,9,27,4,Med,27814,1,Urban,Yes
1062511,No,0.0,30,38,7,Low,29160,1,Urban,Yes
1094443,Yes,437.35,5,76,2,Low,83814,1,Urban,Yes
1075400,Yes,303.39,28,82,3,Med,105975,1,Urban,Yes
1073912,No,0.0,13,36,6,Med,39326,1,Rural,Yes
1011589,Yes,525.48,17,81,4,Med,11414,1,Urban,Yes
1017926,Yes,1496.84,1,31,2,Med,29785,2,Urban,Yes
1024556,Yes,762.48,2,70,3,High,28101,0,Urban,No
1053576,Yes,438.05,7,55,5,Med,32133,2,Urban,Yes
1058617,No,0.0,19,33,1,High,85003,0,Urban,No
1084954,No,0.0,19,84,3,Med,131205,0,Urban,No
1050005,No,0.0,10,24,2,Low,44700,0,Urban,No
1092820,No,0.0,25,31,3,Low,70074,1,Urban,Yes
1037118,Yes,425.97,11,35,1,Med,66240,0,Urban,No
1020505,No,0.0,18,57,11,Low,105470,0,Urban,No
1086890,Yes,776.33,25,78,4,Med,76149,1,Urban,Yes
1077405,No,0.0,4,29,7,Low,29565,0,Urban,No
1058565,No,0.0,21,67,9,High,50421,1,Rural,Yes
1019820,No,0.0,21,24,2,High,18481,0,Urban,No
1036235,No,0.0,27,62,2,Med,16374,2,Urban,Yes
1092968,No,0.0,28,78,7,Med,38969,1,Urban,Yes
1020985,Yes,385.79,8,68,1,Low,31210,0,Urban,No
1052057,No,0.0,30,54,2,High,3593,1,Urban,Yes
1001622,No,0.0,16,55,2,High,30962,1,Urban,Yes
1042134,Yes,547.4,5,51,4,Med,3012,0,Urban,No
1067468,Yes,470.51,4,43,2,Med,5363,0,Urban,No
1033229,Yes,1115.19,30,82,5,Low,46464,2,Urban,Yes
1084794,Yes,185.5,6,48,2,High,75983,1,Urban,Yes
1027628,No,0.0,17,45,1,Low,85228,1,Urban,Yes
1010595,Yes,798.88,12,61,3,Low,82965,1,Urban,Yes
1058302,Yes,275.02,29,64,1,High,64403,0,Rural,No
1016052,No,0.0,22,80,6,Med,19586,0,Rural,No
1020926,Yes,536.26,21,83,0,High,6216,1,Urban,Yes
1092883,Yes,877.94,8,73,4,Med,5973,2,Urban,Yes
1008777,No,0.0,19,32,4,High,114984,0,Urban,No
1080992,Yes,1162.94,6,23,3,Low,90138,1,Urban,Yes
1069566,No,0.0,9,37,5,Low,105712,2,Rural,Yes
1052705,Yes,284.79,6,48,2,High,20847,1,Urban,Yes
1077791,Yes,946.92,30,75,5,Low,47435,2,Urban,Yes
1003400,No,0.0,24,73,1,Med,80894,1,Urban,Yes
1007140,Yes,466.37,26,82,5,Med,44573,3,Urban,Yes
1017020,Yes,614.82,6,61,2,High,25824,3,Urban,Yes
1060494,Yes,305.74,27,63,6,Med,35541,0,Rural,No
1041559,Yes,1039.3,10,28,3,Low,66294,0,Urban,No
1096442,Yes,534.33,2,38,4,High,2829,1,Urban,Yes
1096340,Yes,439.05,22,38,1,Low,106458,0,Urban,No
1057456,No,0.0,14,26,3,Med,123290,2,Urban,Yes
1071687,Yes,505.9,18,61,4,Low,49146,0,Urban,No
1084571,Yes,379.49,16,54,6,Med,13414,1,Urban,Yes
1090898,Yes,292.26,26,68,1,Med,80955,1,Urban,Yes
1066101,Yes,891.05,13,38,2,Med,53058,0,Urban,No
1003194,No,0.0,24,36,6,High,789,0,Urban,No
1004715,No,0.0,4,77,4,Low,66602,1,Urban,Yes
1021446,Yes,494.26,23,76,5,Low,42397,1,Urban,Yes
1008537,No,0.0,8,59,4,High,55741,1,Urban,Yes
1091839,Yes,900.25,18,76,4,Low,76976,0,Urban,No
1029285,No,0.0,27,81,3,Med,72461,1,Urban,Yes
1021314,Yes,266.86,25,72,2,Med,52599,0,Urban,No
1052796,No,0.0,18,46,8,Low,151438,0,Rural,No
1049212,Yes,539.14,10,38,1,Low,65452,0,Urban,No
1000287,Yes,130.56,20,43,4,Low,14539,0,Urban,No
1085093,Yes,477.81,19,24,2,Med,111498,0,Urban,No
1011153,Yes,377.31,7,58,5,Low,44873,1,Urban,Yes
1069891,Yes,617.86,27,44,5,Med,98630,0,Urban,No
1097160,No,0.0,20,40,4,Med,72633,0,Urban,No
1092058,No,0.0,9,35,7,Low,77161,1,Urban,Yes
1041508,Yes,1078.38,1,34,4,High,88123,2,Urban,Yes
1078210,No,0.0,19,64,2,Low,67664,1,Urban,Yes
1058754,No,0.0,22,61,4,Med,94243,1,Rural,Yes
1034673,No,0.0,24,24,3,High,82440,1,Urban,Yes
1035775,No,0.0,2,40,7,High,25464,0,Urban,No
1058936,Yes,248.31,18,61,6,Med,52368,0,Rural,No
1062339,Yes,474.73,26,54,1,High,43676,0,Urban,No
1062636,No,0.0,3,36,2,High,30328,0,Urban,No
1096381,Yes,715.72,29,66,3,Med,25686,0,Urban,No
1042005,Yes,297.04,14,32,6,Med,149231,1,Rural,Yes
1051349,No,0.0,10,65,3,Med,12214,1,Rural,Yes
1097601,No,0.0,9,36,6,Low,89336,1,Rural,Yes
1074087,Yes,141.81,11,68,10,Med,60531,1,Rural,Yes
1058921,Yes,182.57,7,51,12,Low,9785,3,Rural,Yes
1065360,No,0.0,21,67,2,Low,61467,0,Urban,No
1059124,No,0.0,30,37,4,Med,95595,1,Urban,Yes
1091519,No,0.0,13,29,5,Low,70654,1,Urban,Yes
1093904,Yes,330.23,24,84,6,High,49272,1,Urban,Yes
1088554,No,0.0,6,31,4,Low,27675,2,Urban,Yes
1020545,Yes,1296.96,29,27,5,Med,76127,1,Urban,Yes
1079844,Yes,1243.22,26,82,1,Low,102559,1,Urban,Yes
1032894,Yes,340.86,17,52,5,Low,5076,0,Urban,No
1027662,No,0.0,14,35,3,Low,36671,1,Urban,Yes
1014313,Yes,871.95,14,33,1,Med,36368,1,Urban,Yes
1016096,No,0.0,6,40,5,Med,104648,2,Urban,Yes
1029482,Yes,215.57,22,45,3,High,30903,0,Urban,No
1055561,Yes,535.72,7,24,0,Med,49667,0,Urban,No
1066148,Yes,343.34,12,81,1,High,52210,2,Urban,Yes
1039420,No,0.0,18,47,3,High,17027,1,Urban,Yes
1014171,No,0.0,4,40,5,Low,46238,3,Urban,Yes
1099801,Yes,221.57,28,30,4,Med,87669,1,Rural,Yes
